Company,Ticker,Sector,Sub-Industry
Etsy,ETSY,Consumer Discretionary,Broadline Retail
Everest Re,EG,Financials,Reinsurance
Evergy,EVRG,Utilities,Electric Utilities
Eversource,ES,Utilities,Multi-Utilities
Exelon,EXC,Utilities,Multi-Utilities
Expeditors International,EXPD,Industrials,Air Freight & Logistics
Extra Space Storage,EXR,Real Estate,Self-Storage REITs
"F5, Inc.",FFIV,Information Technology,Communications Equipment
FactSet,FDS,Financials,Financial Exchanges & Data
Fastenal,FAST,Industrials,Building Products
Federal Realty,FRT,Real Estate,Retail REITs
Fifth Third Bank,FITB,Financials,Regional Banks
First Solar,FSLR,Information Technology,Semiconductors
FirstEnergy,FE,Utilities,Electric Utilities
FIS,FIS,Financials,Transaction & Payment Processing Services
FMC Corporation,FMC,Materials,Fertilizers & Agricultural Chemicals
Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
Freeport-McMoRan,FCX,Materials,Copper
Garmin,GRMN,Consumer Discretionary,Consumer Electronics
GE HealthCare,GEHC,Health Care,Health Care Technology
Gen Digital,GEN,Information Technology,Application Software
Generac,GNRC,Industrials,Electrical Components & Equipment
General Dynamics,GD,Industrials,Aerospace & Defense
General Electric,GE,Industrials,Industrial Conglomerates
Globe Life,GL,Financials,Life & Health Insurance
Global Payments,GPN,Financials,Transaction & Payment Processing Services
Hartford (The),HIG,Financials,Property & Casualty Insurance
HCA Healthcare,HCA,Health Care,Health Care Facilities
Healthpeak,PEAK,Real Estate,Health Care REITs
Henry Schein,HSIC,Health Care,Health Care Distributors
Hess Corporation,HES,Energy,Integrated Oil & Gas
Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
Hilton Worldwide,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Home Depot (The),HD,Consumer Discretionary,Home Improvement Retail
Honeywell,HON,Industrials,Industrial Conglomerates
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
Huntington Bancshares,HBAN,Financials,Regional Banks
IBM,IBM,Information Technology,IT Consulting & Other Services
IDEX Corporation,IEX,Industrials,Industrial Machinery & Supplies & Components
Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components
Illumina,ILMN,Health Care,Life Sciences Tools & Services
Incyte,INCY,Health Care,Biotechnology
Insulet,PODD,Health Care,Health Care Equipment
Intel,INTC,Information Technology,Semiconductors
International Flavors & Fragrances,IFF,Materials,Specialty Chemicals
International Paper,IP,Materials,Paper & Plastic Packaging Products & Materials
Interpublic Group of Companies (The),IPG,Communication Services,Advertising
Invesco,IVZ,Financials,Asset Management & Custody Banks
Invitation Homes,INVH,Real Estate,Residential REITs
Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services
Kellogg's,K,Consumer Staples,Packaged Foods & Meats
Keurig Dr Pepper,KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KeyCorp,KEY,Financials,Regional Banks
Keysight,KEYS,Information Technology,Electronic Equipment & Instruments
Kimberly-Clark,KMB,Consumer Staples,Household Products
Kimco Realty,KIM,Real Estate,Retail REITs
Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation
KLA Corporation,KLAC,Information Technology,Semiconductor Materials & Equipment
Kraft Heinz,KHC,Consumer Staples,Packaged Foods & Meats
Kroger,KR,Consumer Staples,Food Retail
L3Harris,LHX,Industrials,Aerospace & Defense
Lamb Weston,LW,Consumer Staples,Packaged Foods & Meats
Las Vegas Sands,LVS,Consumer Discretionary,Casinos & Gaming
Leidos,LDOS,Industrials,Diversified Support Services
Lincoln Financial,LNC,Financials,Multi-line Insurance
Linde plc,LIN,Materials,Industrial Gases
LKQ Corporation,LKQ,Consumer Discretionary,Distributors
Loews Corporation,L,Financials,Multi-line Insurance
LyondellBasell,LYB,Materials,Specialty Chemicals
M&T Bank,MTB,Financials,Regional Banks
Marathon Oil,MRO,Energy,Oil & Gas Exploration & Production
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
MarketAxess,MKTX,Financials,Financial Exchanges & Data
Marsh McLennan,MMC,Financials,Insurance Brokers
Martin Marietta Materials,MLM,Materials,Construction Materials
Mastercard,MA,Financials,Transaction & Payment Processing Services
McDonald's,MCD,Consumer Discretionary,Restaurants
Medtronic,MDT,Health Care,Health Care Equipment
MetLife,MET,Financials,Life & Health Insurance
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
Microchip Technology,MCHP,Information Technology,Semiconductors
Micron Technology,MU,Information Technology,Semiconductors
Mid-America Apartment Communities,MAA,Real Estate,Residential REITs
Moderna,MRNA,Health Care,Biotechnology
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
Molina Healthcare,MOH,Health Care,Managed Health Care
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
Mosaic Company (The),MOS,Materials,Fertilizers & Agricultural Chemicals
Motorola Solutions,MSI,Information Technology,Communications Equipment
MSCI,MSCI,Financials,Financial Exchanges & Data
"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
Newmont,NEM,Materials,Gold
NextEra Energy,NEE,Utilities,Multi-Utilities
"Nike, Inc.",NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NiSource,NI,Utilities,Multi-Utilities
Nordson Corporation,NDSN,Industrials,Industrial Machinery & Supplies & Components
Northrop Grumman,NOC,Industrials,Aerospace & Defense
O'Reilly Auto Parts,ORLY,Consumer Discretionary,Specialty Stores
Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production
ONEOK,OKE,Energy,Oil & Gas Storage & Transportation
Organon & Co.,OGN,Health Care,Pharmaceuticals
Otis Worldwide,OTIS,Industrials,Industrial Machinery & Supplies & Components
Packaging Corporation of America,PKG,Materials,Paper & Plastic Packaging Products & Materials
Paramount Global,PARA,Communication Services,Movies & Entertainment
PayPal,PYPL,Financials,Transaction & Payment Processing Services
PepsiCo,PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PG&E Corporation,PCG,Utilities,Multi-Utilities
Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
Pinnacle West,PNW,Utilities,Multi-Utilities
Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production
PNC Financial Services,PNC,Financials,Regional Banks
PPG Industries,PPG,Materials,Specialty Chemicals
PPL Corporation,PPL,Utilities,Electric Utilities
Procter & Gamble,PG,Consumer Staples,Personal Care Products
Prologis,PLD,Real Estate,Industrial REITs
Prudential Financial,PRU,Financials,Life & Health Insurance
Public Service Enterprise Group,PEG,Utilities,Electric Utilities
PTC,PTC,Information Technology,Application Software
Public Storage,PSA,Real Estate,Self-Storage REITs
Qorvo,QRVO,Information Technology,Semiconductors
Qualcomm,QCOM,Information Technology,Semiconductors
Quest Diagnostics,DGX,Health Care,Health Care Services
Raytheon Technologies,RTX,Industrials,Aerospace & Defense
Realty Income,O,Real Estate,Retail REITs
Regeneron,REGN,Health Care,Biotechnology
Regions Financial Corporation,RF,Financials,Regional Banks
Republic Services,RSG,Industrials,Environmental & Facilities Services
ResMed,RMD,Health Care,Health Care Equipment
Revvity,RVTY,Health Care,Health Care Equipment
Ross Stores,ROST,Consumer Discretionary,Apparel Retail
Royal Caribbean Group,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SBA Communications,SBAC,Real Estate,Telecom Tower REITs
Seagate Technology,STX,Information Technology,"Technology Hardware, Storage & Peripherals"
Sealed Air,SEE,Materials,Paper & Plastic Packaging Products & Materials
Sempra Energy,SRE,Utilities,Multi-Utilities
Skyworks Solutions,SWKS,Information Technology,Semiconductors
J.M. Smucker Company (The),SJM,Consumer Staples,Packaged Foods & Meats
SolarEdge,SEDG,Information Technology,Semiconductor Materials & Equipment
Southern Company,SO,Utilities,Electric Utilities
Starbucks,SBUX,Consumer Discretionary,Restaurants
Steel Dynamics,STLD,Materials,Steel
Stryker Corporation,SYK,Health Care,Health Care Equipment
Sysco,SYY,Consumer Staples,Food Distributors
T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
T. Rowe Price,TROW,Financials,Asset Management & Custody Banks
"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Target Corporation,TGT,Consumer Staples,Consumer Staples Merchandise Retail
Teledyne Technologies,TDY,Information Technology,Electronic Equipment & Instruments
Teleflex,TFX,Health Care,Health Care Equipment
Teradyne,TER,Information Technology,Semiconductor Materials & Equipment
Texas Instruments,TXN,Information Technology,Semiconductors
Textron,TXT,Industrials,Aerospace & Defense
Thermo Fisher Scientific,TMO,Health Care,Life Sciences Tools & Services
TJX Companies,TJX,Consumer Discretionary,Apparel Retail
Travelers Companies (The),TRV,Financials,Property & Casualty Insurance
Trimble Inc.,TRMB,Information Technology,Electronic Equipment & Instruments
Truist,TFC,Financials,Regional Banks
Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats
"UDR, Inc.",UDR,Real Estate,Residential REITs
Ulta Beauty,ULTA,Consumer Discretionary,Specialty Stores
United Airlines Holdings,UAL,Industrials,Passenger Airlines
United Parcel Service,UPS,Industrials,Air Freight & Logistics
Universal Health Services,UHS,Health Care,Health Care Facilities
Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing
Ventas,VTR,Real Estate,Health Care REITs
Verisign,VRSN,Information Technology,Internet Services & Infrastructure
Verisk,VRSK,Industrials,Research & Consulting Services
Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
VF Corporation,VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Viatris,VTRS,Health Care,Pharmaceuticals
Vici Properties,VICI,Real Estate,Hotel & Resort REITs
Vulcan Materials Company,VMC,Materials,Construction Materials
Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
Walmart,WMT,Consumer Staples,Consumer Staples Merchandise Retail
Warner Bros. Discovery,WBD,Communication Services,Broadcasting
Waste Management,WM,Industrials,Environmental & Facilities Services
Waters Corporation,WAT,Health Care,Health Care Distributors
WEC Energy Group,WEC,Utilities,Electric Utilities
Welltower,WELL,Real Estate,Health Care REITs
Western Digital,WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
WestRock,WRK,Materials,Paper & Plastic Packaging Products & Materials
Willis Towers Watson,WTW,Financials,Insurance Brokers
Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming
Xcel Energy,XEL,Utilities,Multi-Utilities
Yum! Brands,YUM,Consumer Discretionary,Restaurants
Zebra Technologies,ZBRA,Information Technology,Electronic Equipment & Instruments
Zimmer Biomet,ZBH,Health Care,Health Care Equipment
Zoetis,ZTS,Health Care,Pharmaceuticals
